p32	146	326	Area_p32
p32pr	147	327	Area_p32_prime
pOFC	148	328	Posterior_OFC_Complex
s32	149	329	Area_s32
10d	150	330	Area_10d
10pp	151	331	Polar_10p
11l	152	332	Area_11l
13l	153	333	Area_13l
47m	154	334	Area_47m
47s	155	335	Area_47s
a10p	156	336	Area_anterior_10p
OFC	157	337	Orbital_Frontal_Complex
p10p	158	338	Area_posterior_10p
44	159	339	Area_44
45	160	340	Area_45
47l	161	341	Area_47l_(47_lateral)
a47r	162	342	Area_anterior_47r
IFJa	163	343	Area_IFJa
IFJp	164	344	Area_IFJp
IFSa	165	345	Area_IFSa
IFSp	166	346	Area_IFSp
p47r	167	347	Area_posterior_47r
46	168	348	Area_46
8Ad	169	349	Area_8Ad
8Av	170	350	Area_8Av
8BL	171	351	Area_8B_Lateral
8C	172	352	Area_8C
9-46d	173	353	Area_9-46d
9a	174	354	Area_9_anterior
9p	175	355	Area_9_Posterior
a9-46v	176	356	Area_anterior_9-46v
i6-8	177	357	Inferior_6-8_Transitional_Area
p9-46v	178	358	Area_posterior_9-46v
s6-8	179	359	Superior_6-8_Transitional_Area
SFL	180	360	Superior_Frontal_Language_Area
AV	361	394	Thal_AnteroventralNucleus
CeM	362	395	Thal_Central_medial
CL	363	396	Thal_Central_lateral
CM	364	397	Thal_Centralmedian
LD	365	398	Thal_Laterodorsal
LGN	366	399	Thal_Lateral_Geniculate
LP	367	400	Thal_Lateral_Posterior
L-Sg	368	401	Thal_Limitans_Suprageniculate
MDl	369	402	Thal_Mediodorsolateral_parvocellular
MDm	370	403	Thal_Mediodorsomedial_magnocellular
MGN	371	404	Thal_Medial_Geniculate
MV(Re)	372	405	Thal_Reuniens
Pf	373	406	Thal_Parafascicular
PuA	374	407	Thal_Pulvinar_anterior
PuI	375	408	Thal_Pulvinar_inferior
PuL	376	409	Thal_Pulvinar_lateral
PuM	377	410	Thal_Pulvinar_medial
VA	378	411	Thal_Ventral_Anterior
VLa	379	412	Thal_Ventral_Lateral_Anterior
VLp	380	413	Thal_Ventral_Lateral_Posterior
VPL	381	414	Thal_Ventral_posterolateral
Putam	382	415	Putamen
Caud	383	416	Caudate
NAc	384	417	Nucleus_Accumbens
Gpe	385	418	Globus_pallidus_externalis
Gpi	386	419	Globus_pallidus_internalis
Amyg	387	420	Amygdala
SNpc	388	421	Substantia_nigra_pars_compacta
SNpr	389	422	Substantia_nigra_pars_reticulata
VTA	390	423	Ventral_tegmenta_area
MB	391	424	Mammillary_bodies
Septum	392	425	Septal_nucleus
Nb	393	426	Nuclei_basal
